,experience_level,employment_type,job_title,company_location,company_size
2485,SE,FT,Data Analyst,US,M
2985,MI,FT,Data Scientist,NL,M
417,SE,FT,Data Scientist,US,M
2324,SE,FT,Analytics Engineer,US,M
1418,SE,FT,Data Scientist,US,M
3031,SE,FT,Data Architect,US,M
2256,SE,FT,Data Analyst,US,M
2404,SE,FT,Data Engineer,US,M
3241,MI,FT,Data Scientist,GB,M
694,EN,FT,Data Engineer,US,M
582,EN,FT,Data Scientist,US,M
773,SE,FT,Data Engineer,US,M
1861,MI,FT,Data Analyst,US,M
24,SE,FT,Analytics Engineer,GB,M
786,SE,FT,Data Scientist,US,M
1186,SE,FT,Machine Learning Engineer,US,M
170,SE,FT,Analytics Engineer,US,M
3148,SE,FT,Data Analyst,US,M
1482,MI,FT,Data Analyst,US,M
930,SE,FT,Data Scientist,US,M
2784,MI,FT,Business Data Analyst,US,L
1073,SE,FT,Data Scientist,US,M
2799,SE,FT,Data Engineer,US,M
597,EN,FT,Data Analyst,US,M
2513,MI,FT,ML Engineer,US,M
3097,MI,FT,Data Scientist,DE,S
2598,SE,FT,Data Scientist,US,M
50,SE,FT,Data Scientist,US,M
1444,EN,FT,Marketing Data Engineer,SG,L
2464,SE,FT,Data Scientist,US,M
2261,MI,FT,Data Analyst,US,M
3450,MI,FT,Machine Learning Scientist,US,M
1123,SE,FT,Machine Learning Engineer,US,M
2700,MI,FT,Data Analytics Engineer,US,L
2920,SE,FT,Analytics Engineer,US,M
759,SE,FT,Data Operations Engineer,US,M
1223,EN,FT,Data Analyst,US,L
27,SE,FT,Machine Learning Engineer,US,M
1178,SE,FT,Data Scientist,US,M
315,SE,FT,Data Scientist,US,M
2533,SE,FT,Data Scientist,US,M
2041,EN,FT,Data Analyst,US,L
852,SE,FT,Data Analyst,US,M
1815,SE,FT,Machine Learning Engineer,US,L
6,SE,FT,Applied Scientist,US,L
336,MI,FT,Data Scientist,US,M
1824,SE,FT,Data Engineer,US,M
3636,MI,FT,Data Engineer,US,M
3573,MI,FT,Data Engineer,GB,L
73,SE,FT,Data Scientist,US,M
120,SE,FT,Analytics Engineer,US,M
2947,SE,FT,Data Scientist,US,L
572,SE,FT,Data Analyst,US,M
3352,SE,FT,Data Engineer,US,M
1877,EN,FT,Data Engineer,US,M
940,SE,FT,Analytics Engineer,US,M
1304,SE,FT,Data Analyst,US,M
136,MI,FT,Data Engineer,US,M
2590,SE,FT,Data Scientist,US,M
3518,EX,FT,Head of Data Science,RU,M
2344,SE,FT,Data Scientist,US,M
3274,EX,FT,Data Analyst,US,M
1249,SE,FT,Research Scientist,ES,M
1432,MI,FT,Machine Learning Engineer,US,M
2736,SE,FT,Data Architect,US,M
1519,SE,FT,Data Scientist,US,M
249,SE,FT,Data Scientist,GB,L
1736,MI,FT,Data Engineer,US,M
1152,SE,FT,Data Engineer,US,M
2455,SE,FT,Data Scientist,US,M
1052,SE,FT,Data Analyst,US,M
171,SE,FT,Data Engineer,US,M
3224,MI,FT,Machine Learning Engineer,IT,L
2724,SE,FT,Data Analyst,US,M
3205,MI,FT,Data Engineer,GR,M
3494,MI,FT,Data Scientist,IN,S
3680,MI,FT,Machine Learning Engineer,PL,L
52,SE,FT,Data Scientist,US,M
896,MI,FT,Data Scientist,US,M
1094,SE,FT,Data Engineer,US,M
2966,SE,FT,Lead Machine Learning Engineer,IN,L
982,SE,FT,Data Analyst,US,M
1040,SE,FT,Data Quality Analyst,US,M
353,SE,FT,Data Quality Analyst,US,M
2244,SE,FT,Data Engineer,US,M
3745,SE,FT,Director of Data Science,JP,S
1160,MI,FT,Data Engineer,US,M
1372,SE,FT,Data Engineer,US,M
1202,SE,FT,Data Scientist,US,M
484,MI,FT,Research Scientist,US,M
850,MI,FT,Data Engineer,US,M
3071,EN,FT,Data Analyst,US,S
43,EN,FT,Applied Scientist,US,L
3098,SE,FT,Data Science Manager,US,M
2790,SE,FT,Data Architect,US,L
2187,MI,FT,Data Analyst,US,M
2679,SE,FT,Lead Data Scientist,US,L
314,SE,FT,Data Scientist,US,M
2036,SE,FT,Data Engineer,US,M
1282,SE,FT,Data Science Lead,US,M
2425,SE,FT,Data Architect,US,M
1459,SE,FT,Data Engineer,US,M
470,MI,FT,Data Engineer,US,M
1918,MI,FT,Data Scientist,US,M
3652,MI,FT,Data Scientist,US,L
200,SE,FT,Data Architect,US,M
1227,SE,FT,Data Engineer,US,M
747,EN,FT,Research Scientist,US,M
3394,SE,FT,Data Analyst,US,M
2738,SE,FT,Analytics Engineer,US,M
1458,SE,FT,Data Engineer,US,M
1690,SE,FT,Data Engineer,US,M
2877,SE,FT,Data Engineer,US,M
2711,EX,FT,Data Engineer,US,M
2988,SE,FT,Data Engineer,US,M
432,SE,FT,Machine Learning Engineer,US,M
3457,MI,FT,Research Scientist,CZ,L
3236,SE,FT,Data Engineer,US,M
1632,SE,FT,ML Engineer,US,M
2102,SE,FT,Data Scientist,US,M
2951,SE,FT,ETL Developer,US,M
1936,SE,FT,Machine Learning Engineer,US,M
3740,SE,FT,Data Science Manager,US,M
1056,SE,FT,Data Analyst,US,M
2849,SE,FT,Director of Data Science,FR,L
2586,SE,FT,Data Scientist,US,M
2983,SE,FT,Data Analyst,US,M
792,SE,FT,Data Engineer,US,M
1714,SE,FT,NLP Engineer,US,M
3386,SE,FT,Data Engineer,US,M
113,EN,FT,Research Scientist,US,L
2863,SE,FT,Data Engineer,US,M
1644,SE,FT,Data Lead,US,M
3025,SE,FT,Data Scientist,US,M
1047,SE,FT,Data Engineer,US,M
1656,MI,FT,Data Analyst,US,M
2043,SE,FT,Data Engineer,US,M
1099,SE,FT,Data Scientist,US,M
3076,SE,FT,Data Engineer,US,M
1388,SE,FT,Data Engineer,US,M
3371,SE,FT,Data Engineer,US,M
2645,SE,FT,Data Scientist,ES,M
2622,SE,FT,Data Scientist,US,M
2442,SE,FT,Data Scientist,US,M
1154,EX,FT,Data Engineer,US,M
719,SE,FT,Research Scientist,US,M
2841,SE,FT,Data Scientist,US,M
799,SE,FT,Data Architect,US,M
1167,SE,FT,Data Science Lead,US,M
3267,SE,FT,Data Scientist,US,M
1143,SE,FT,Data Engineer,US,M
926,SE,FT,Data Engineer,US,M
80,MI,FT,Data Scientist,HK,L
3747,MI,FT,Applied Machine Learning Scientist,US,L
2127,SE,FT,Data Specialist,US,M
1309,SE,FT,Data Scientist,US,M
1127,SE,FT,Machine Learning Engineer,US,M
1896,MI,FT,Data Scientist,GB,M
2563,SE,FT,Data Engineer,US,L
2172,MI,FT,Machine Learning Researcher,CA,L
70,SE,FT,Data Engineer,US,M
150,SE,FT,Data Scientist,US,M
1898,MI,FT,Data Engineer,US,M
2271,SE,FT,Data Engineer,US,M
2982,SE,FT,Data Analyst,US,M
1848,MI,FT,Data Engineer,US,M
1807,SE,FT,Data Engineer,US,M
3537,MI,PT,3D Computer Vision Researcher,IN,M
2568,MI,FT,Data Scientist,BR,M
2326,SE,FT,Analytics Engineer,US,M
1466,SE,FT,Data Manager,US,M
2761,SE,FT,Data Scientist,US,M
3280,SE,FT,Data Scientist,US,M
1437,SE,FT,Data Analyst,US,M
907,SE,FT,Data Manager,US,M
2200,SE,FT,Data Engineer,ES,M
3015,SE,FT,Data Analyst,GB,M
463,SE,FT,Data Scientist,US,M
3143,EN,FT,Machine Learning Engineer,US,L
1751,SE,FT,Research Scientist,US,M
2163,SE,FT,Data Engineer,US,M
2794,SE,FT,Data Architect,US,L
3029,SE,FT,Data Engineer,US,M
442,SE,FT,Applied Scientist,US,L
1602,SE,FT,Data Engineer,US,M
1744,EN,FT,Data Engineer,US,M
1392,SE,FT,Data Analyst,US,M
1266,SE,FT,Data Architect,US,M
1603,SE,FT,Machine Learning Engineer,LV,M
1954,SE,FT,Data Analyst,US,M
2896,SE,FT,Data Scientist,US,M
673,MI,FT,Data Analyst,US,M
2753,SE,FT,Data Scientist,US,M
1158,SE,FT,Data Scientist,US,M
794,SE,FT,Data Science Manager,US,M
2825,SE,FT,Machine Learning Scientist,US,M
1417,SE,FT,Data Scientist,US,M
3502,MI,FT,Data Engineer,US,L
2339,SE,FT,Data Scientist,ES,M
3752,EN,FT,Data Scientist,US,S
1703,MI,FT,Data Scientist,US,M
1820,EN,FT,Data Engineer,US,M
2508,SE,FT,Data Operations Analyst,US,M
1599,SE,FT,Data Scientist,US,M
512,SE,FT,Data Engineer,US,M
782,SE,FT,Analytics Engineer,US,M
1441,MI,FT,Data Analyst,US,M
869,MI,FT,Data Engineer,US,M
1240,MI,FT,Data Analyst,US,M
3,SE,FT,Data Scientist,CA,M
570,SE,FT,Data Analyst,US,M
3483,SE,FT,Principal Data Scientist,DE,M
2999,SE,FT,Data Engineer,US,M
2032,MI,FT,Data Analyst,IN,L
2714,SE,FT,Data Engineer,US,M
1568,EN,FT,Data Engineer,US,M
526,SE,FT,Research Scientist,US,M
2660,SE,FT,Data Architect,US,M
1409,SE,FT,Data Manager,US,M
3691,MI,FT,BI Data Analyst,US,M
2351,MI,FT,Data Analyst,US,M
3398,MI,FT,Data Analyst,US,M
1325,MI,FT,Data Engineer,GB,M
1004,SE,FT,Data Analyst,US,M
2295,SE,FT,Data Management Specialist,IT,L
1794,SE,FT,Data Engineer,US,M
2363,SE,FT,Data Scientist,US,M
1007,EX,FT,Data Engineer,US,M
3144,MI,FT,Data Engineer,GB,M
3104,SE,FT,Data Analyst,US,M
2827,EX,FT,Data Science Manager,US,M
1645,SE,FT,Data Engineer,US,M
3285,SE,FT,Data Scientist,US,M
1067,SE,FT,Data Engineer,US,M
153,MI,FT,Data Engineer,US,M
2056,SE,FT,Data Analyst,US,M
111,SE,FT,Research Engineer,US,M
3292,SE,FT,Data Engineer,US,L
1326,MI,FT,Data Engineer,GB,M
520,SE,FT,Data Scientist,US,M
1661,MI,FT,Data Engineer,US,M
1151,SE,FT,Data Engineer,US,M
2263,SE,FT,Data Scientist,US,M
3228,MI,FT,Machine Learning Scientist,US,L
939,SE,FT,Data Scientist,US,M
612,EN,FT,Data Engineer,US,M
1415,EN,FT,Data Engineer,US,M
2980,EX,FT,Analytics Engineer,US,M
75,SE,FT,Computer Vision Engineer,US,M
2473,SE,FT,Machine Learning Engineer,CA,M
971,EN,PT,Data Analyst,US,S
839,SE,FT,Machine Learning Engineer,US,M
3220,MI,FT,Data Engineer,GR,M
1428,EX,FT,Data Engineer,US,M
2154,SE,FT,Data Engineer,US,M
527,MI,FT,Machine Learning Engineer,US,L
2276,MI,FT,Data Engineer,US,M
1201,SE,FT,Data Scientist,US,M
2981,EX,FT,Analytics Engineer,US,M
2618,SE,FT,Analytics Engineer,US,M
1032,SE,FT,Data Manager,GB,M
2913,EN,FT,Data Engineer,US,L
1252,MI,FT,Data Scientist,US,M
2228,SE,FT,Data Scientist,US,M
2112,MI,FT,Data Engineer,LT,M
1403,EN,FT,BI Developer,US,M
3523,MI,FT,Data Analyst,FR,L
1991,SE,FT,Data Scientist,US,M
2226,MI,FT,Data Scientist,US,M
1559,SE,FT,Data Science Manager,US,M
2265,MI,FT,Data Analyst,US,M
2483,SE,FT,Data Analyst,US,M
2415,MI,FT,Data Analyst,US,M
126,SE,FT,Data Engineer,US,M
1241,SE,FT,Data Analyst,US,M
1932,EX,FT,Data Engineer,US,M
1426,SE,FT,Machine Learning Engineer,US,M
3688,MI,FT,Data Scientist,DE,L
478,EX,FT,Director of Data Science,US,M
1939,SE,FT,Data Engineer,US,M
2019,SE,FT,BI Developer,US,M
741,SE,FT,Data Engineer,US,M
412,EX,FT,Data Architect,US,M
1821,SE,FT,Manager Data Management,US,L
2268,EN,FT,Data Engineer,US,M
2984,MI,FT,Data Scientist,NL,M
2156,MI,FT,Data Scientist,US,M
1850,EN,FT,AI Programmer,AU,M
1539,SE,FT,Data Engineer,US,M
309,SE,FT,Data Analyst,US,M
665,SE,FT,Data Analyst,US,M
966,SE,FT,Data Scientist,US,M
3085,SE,FT,Data Engineer,US,M
1844,MI,FT,Data Scientist,US,M
3710,EN,PT,Data Scientist,IT,S
3165,MI,FT,Data Engineer,GB,M
3612,SE,FT,Data Analyst,US,L
1588,SE,FT,Data Architect,US,M
3200,MI,FT,Data Engineer,ES,M
1672,SE,FT,Research Scientist,US,M
2302,SE,FT,Data Analyst,US,M
392,EN,FT,BI Data Engineer,US,M
942,SE,FT,Machine Learning Engineer,US,M
718,SE,FT,Research Scientist,US,M
955,MI,FT,Data Analytics Manager,US,M
3060,EN,FT,Machine Learning Research Engineer,IN,M
2587,SE,FT,Data Scientist,US,M
2204,SE,FT,Data Engineer,US,M
1301,SE,FT,Data Scientist,US,M
2878,SE,FT,Data Engineer,US,M
2467,MI,FT,Data Analyst,US,M
822,SE,FT,Data Scientist,US,M
3049,SE,FT,Data Engineer,US,M
1242,SE,FT,Data Analyst,US,M
110,SE,FT,Data Engineer,US,M
3234,MI,FT,Data Analyst,US,S
2391,MI,FT,Data Engineer,US,M
745,EX,FT,Data Engineer,US,M
2876,SE,FT,Analytics Engineer,US,M
1802,SE,FT,Data Engineer,US,M
3376,SE,FT,Data Scientist,US,M
9,SE,FT,Data Scientist,US,M
2249,SE,FT,Data Scientist,ES,M
2134,SE,FT,Data Engineer,US,M
3263,MI,FT,Data Engineer,US,M
911,SE,FT,Data Engineer,US,M
1072,SE,FT,Data Analyst,US,M
1170,SE,FT,Data Scientist,US,M
1957,SE,FT,Data Scientist,US,M
2582,SE,FT,Data Scientist,US,M
740,MI,FT,Machine Learning Engineer,US,M
546,SE,FT,Analytics Engineer,US,M
578,MI,FT,Data Analyst,US,M
3647,SE,FT,Data Scientist,US,L
1983,MI,FT,Data Analyst,US,M
1574,SE,FT,Data Scientist,US,M
2956,SE,FT,Data Engineer,CA,M
3180,SE,FT,Machine Learning Engineer,US,M
2531,SE,FT,Data Operations Engineer,US,M
2005,SE,FT,Machine Learning Engineer,US,M
2757,SE,FT,Data Scientist,US,M
366,MI,FT,Data Analyst,US,M
272,SE,FT,Applied Scientist,US,L
2584,SE,FT,Data Scientist,US,M
2246,MI,FT,Deep Learning Engineer,GB,M
2132,MI,FT,Data Analyst,US,M
3100,SE,FT,Data Engineer,US,M
2865,SE,FT,Data Scientist,US,M
3137,SE,FT,Machine Learning Engineer,US,L
810,MI,FT,Data Science Manager,US,M
932,MI,FT,Data Engineer,GB,M
2439,MI,FT,Data Scientist,US,M
2203,SE,FT,Data Engineer,US,M
648,SE,FT,Data Analyst,US,M
1836,SE,FT,Data Engineer,US,M
1246,SE,FT,Data Engineer,US,M
422,SE,FT,Data Analyst,US,M
2834,EN,FT,Machine Learning Developer,TH,L
3681,MI,FT,Data Analyst,PK,L
492,EN,FT,Business Data Analyst,ES,M
1163,MI,FT,Data Analyst,HR,M
3568,SE,FT,Data Engineer,US,M
592,MI,FT,Data Scientist,DE,M
2296,SE,FT,Data Analyst,US,M
3603,MI,FT,Data Analyst,US,L
3368,EN,FT,Data Analyst,CA,M
1669,SE,FT,Data Science Engineer,US,M
1835,SE,FT,Data Engineer,US,M
259,SE,FT,Data Engineer,US,M
663,SE,FT,Data Engineer,US,M
260,SE,FT,Data Scientist,US,M
2885,SE,FT,Data Scientist,US,M
2169,SE,FT,Data Analyst,GB,M
1993,SE,FT,Data Analyst,US,M
1924,EX,FT,Data Engineer,US,M
342,SE,FT,Machine Learning Engineer,US,M
2609,SE,FT,Data Scientist,US,M
2620,SE,FT,Data Science Consultant,US,M
523,MI,FT,Data Architect,US,M
2170,SE,FT,Data Analyst,US,M
3084,SE,FT,Data Engineer,US,M
3177,SE,FT,Data Scientist,US,M
1347,EN,FT,Data Scientist,US,M
1394,SE,FT,Data Engineer,US,M
3540,MI,FT,Machine Learning Engineer,ES,S
2944,SE,FT,Analytics Engineer,US,M
1323,SE,FT,Data Engineer,US,M
2306,SE,FT,Data Engineer,US,M
2180,EN,FT,Machine Learning Engineer,US,M
2257,MI,FT,Analytics Engineer,GB,M
3030,SE,FT,Data Engineer,US,M
398,MI,FT,Data Engineer,US,M
2422,EN,FT,Data Manager,US,M
3685,EN,FT,Data Science Consultant,IN,M
2816,SE,FT,Data Scientist,US,L
1022,SE,FT,Research Engineer,DE,S
562,MI,FT,Data Analyst,US,M
3539,MI,FT,Applied Data Scientist,CA,L
1897,MI,FT,Data Engineer,US,M
2636,MI,FT,ML Engineer,US,L
3068,EX,FT,Data Science Manager,US,M
2949,SE,FT,Data Engineer,US,M
453,MI,FT,Data Analyst,GB,M
2234,EN,FT,Data Science Consultant,ES,L
1629,MI,FT,Machine Learning Engineer,US,M
655,SE,FT,Data Engineer,US,M
181,MI,FT,Data Scientist,GB,M
2592,MI,FT,Data Analyst,US,M
355,SE,FT,Data Scientist,US,M
1776,SE,FT,Data Architect,US,M
1125,MI,FT,Data Infrastructure Engineer,US,M
3128,MI,FT,Data Scientist,US,L
797,EX,FT,Data Engineer,US,M
1361,SE,FT,Data Engineer,US,M
160,SE,FT,Data Engineer,US,M
1919,MI,FT,NLP Engineer,PL,S
3147,SE,FT,Data Scientist,US,M
3719,SE,FT,Data Science Manager,FR,L
860,EX,FT,Data Engineer,US,M
1907,SE,FT,Data Science Manager,US,M
2350,MI,FT,Data Analyst,US,M
1035,EX,FT,Head of Data Science,GB,M
3467,EN,FT,Data Scientist,US,M
2358,EN,FT,Data Scientist,HU,M
594,SE,FT,Data Engineer,US,M
1531,SE,FT,Data Engineer,US,M
3122,SE,FT,Data Scientist,US,L
364,SE,FT,Data Scientist,US,M
1063,SE,FT,Machine Learning Infrastructure Engineer,US,M
1206,MI,FT,Machine Learning Engineer,GB,M
1028,SE,FT,Machine Learning Engineer,US,M
3654,SE,FT,Data Science Manager,US,L
1027,SE,FT,Data Engineer,US,M
2369,MI,FT,Machine Learning Engineer,GB,M
2845,MI,FT,Data Manager,US,M
2109,SE,FT,Data Engineer,US,M
3659,MI,FT,Data Scientist,IN,L
1905,SE,FT,Data Engineer,US,M
2069,MI,FT,Machine Learning Engineer,US,M
813,MI,FT,Data Science Consultant,US,M
1251,MI,FT,Data Scientist,US,M
3527,EN,FT,Data Scientist,UA,L
943,SE,FT,Machine Learning Engineer,US,M
3370,SE,FT,Data Engineer,US,M
1750,EN,FT,Research Engineer,US,M
3277,SE,FT,Data Analyst,US,M
2537,SE,FT,Data Scientist,US,L
2410,MI,FT,Data Analyst,US,M
3178,SE,FT,Data Scientist,US,M
1343,SE,FT,Data Scientist,US,M
2810,MI,FT,Data Engineer,GB,M
534,SE,FT,Data Scientist,US,M
1350,SE,FT,BI Developer,US,M
326,MI,FT,Machine Learning Engineer,US,M
3587,SE,FT,Data Engineer,US,L
1789,SE,FT,Data Scientist,US,M
3498,EN,FT,ML Engineer,PT,L
252,SE,FT,Data Analyst,US,M
842,MI,FT,Data Engineer,US,M
714,SE,FT,Data Scientist,US,M
2992,SE,FT,Data Science Manager,US,M
1978,SE,FT,Machine Learning Engineer,US,M
637,SE,FT,Data Engineer,US,M
2120,SE,FT,Data Analyst,AU,L
434,MI,FT,Data Manager,US,M
2527,MI,FT,Data Analyst,US,M
788,SE,FT,Machine Learning Engineer,US,M
3373,SE,FT,Data Analyst,US,M
1339,SE,FT,Director of Data Science,CA,M
345,SE,FT,Data Engineer,US,M
2066,SE,FT,Data Scientist,US,M
189,SE,FT,Data Engineer,US,M
2151,MI,FT,Data Scientist,DE,M
215,SE,FT,Data Analyst,US,M
2371,SE,FT,Data Scientist,US,M
2514,SE,FT,Data Engineer,US,M
918,SE,FT,Data Analyst,US,M
423,SE,FT,Data Engineer,US,M
3507,MI,FT,Research Scientist,FR,M
3442,MI,FT,Machine Learning Engineer,AU,L
2013,SE,FT,Data Analyst,ES,M
3613,SE,FT,Big Data Engineer,GB,M
2297,SE,FT,Data Analyst,US,M
1344,SE,FT,Data Scientist,GB,M
3343,SE,FT,Data Architect,US,M
3059,EN,FT,Data Analyst,US,L
793,SE,FT,Data Science Manager,US,M
1942,MI,FT,Data Engineer,US,M
2993,SE,FT,Data Science Manager,US,M
3218,MI,FT,Data Scientist,GB,M
3345,SE,FT,Data Engineer,US,M
1570,MI,FT,Data Engineer,US,M
1775,SE,FT,Computer Vision Engineer,US,M
3590,SE,FT,Research Scientist,PT,L
1239,MI,FT,Data Analyst,US,M
1342,SE,FT,Data Scientist,US,M
376,SE,FT,Data Analytics Manager,US,M
3300,SE,FT,Data Analyst,US,M
3367,MI,FT,Data Scientist,US,M
3687,EN,PT,Computer Vision Engineer,DK,S
1723,SE,FT,Data Engineer,US,M
3305,SE,FT,Data Engineer,US,M
1868,SE,FT,Lead Data Scientist,IN,L
3485,MI,FT,Applied Machine Learning Scientist,US,M
2440,SE,FT,Data Engineer,US,M
1179,SE,FT,Machine Learning Engineer,US,M
3509,MI,FT,Data Architect,US,L
3451,SE,FT,Data Scientist,US,M
2759,SE,FT,Data Scientist,US,M
1453,SE,FT,Data Analyst,US,M
3436,SE,FT,Head of Data,SI,L
3555,MI,FT,BI Data Analyst,US,M
3223,MI,FT,Data Engineer,GB,M
2815,MI,FT,Data Operations Engineer,US,M
501,SE,FT,Data Scientist,US,M
769,SE,FT,Machine Learning Engineer,GB,M
3469,MI,FT,Data Scientist,CH,L
1117,SE,FT,Machine Learning Engineer,US,M
2434,MI,FT,Machine Learning Engineer,US,M
2037,SE,FT,Data Engineer,ES,M
1730,SE,FT,Data Engineer,US,M
3416,SE,FT,Data Engineer,US,M
1333,SE,FT,Research Engineer,US,M
1813,MI,FT,Data Analyst,US,M
3635,MI,FT,Data Engineer,US,M
3750,SE,FT,Data Scientist,US,L
2942,SE,FT,Data Scientist,US,M
2914,EX,FT,Machine Learning Scientist,US,S
322,EN,FT,Data Analyst,CA,L
1676,SE,FT,Data Science Manager,US,M
3619,SE,FT,Machine Learning Engineer,US,L
1965,SE,FT,Data Scientist,US,M
2933,MI,CT,Analytics Engineer,BO,M
680,SE,FT,Data Analyst,US,M
3656,EN,FT,Machine Learning Engineer,CO,M
3632,EN,FT,Data Analyst,US,L
2651,SE,FT,Big Data Engineer,CA,M
2731,SE,FT,Machine Learning Engineer,US,M
2639,SE,FT,Data Analyst,US,M
2481,EN,FT,BI Analyst,US,L
1287,SE,FT,Machine Learning Engineer,US,M
2762,SE,FT,Machine Learning Engineer,PR,M
2989,SE,FT,Data Engineer,US,M
2333,SE,FT,Machine Learning Engineer,US,M
3711,MI,FT,Data Engineer,US,L
3079,MI,FT,Analytics Engineer,US,M
756,SE,FT,Data Engineer,US,M
733,SE,FT,Data Analyst,US,M
349,EN,FT,Applied Scientist,US,L
224,SE,FT,Data Engineer,US,M
3197,MI,FT,Data Analyst,GB,M
2014,SE,FT,Data Analyst,ES,M
924,SE,FT,Data Engineer,US,M
97,SE,FT,Data Engineer,US,M
2438,MI,FT,Data Scientist,US,M
2574,SE,FT,Data Engineer,US,M
2704,SE,FT,Machine Learning Engineer,CA,M
350,SE,FT,Data Engineer,US,M
1681,SE,FT,Data Scientist,US,M
2289,SE,FT,Applied Scientist,US,M
2558,SE,FT,Data Engineer,US,M
1770,SE,FT,Machine Learning Engineer,US,M
1652,SE,FT,Data Scientist,US,M
698,SE,FT,Data Scientist,US,M
89,SE,FT,Data Engineer,US,M
1020,MI,FT,Data Engineer,US,M
3339,MI,FT,Data Analyst,CA,M
2694,SE,FT,Data Engineer,US,M
1058,SE,FT,Data Analyst,US,M
593,SE,FT,Data Engineer,US,M
1413,SE,FT,Data Analyst,US,M
3582,SE,FT,Lead Data Engineer,US,L
1737,MI,FT,Data Engineer,US,M
3288,SE,FT,Data Analyst,CA,M
3350,MI,FT,Data Engineer,US,M
367,MI,FT,Research Scientist,GB,M
338,SE,FT,Data Analyst,CA,M
2364,SE,FT,Data Analyst,US,M
808,SE,FT,BI Analyst,US,M
3126,MI,FT,AI Scientist,US,M
1423,SE,FT,Data Analyst,US,M
1278,MI,FT,Data Analyst,GB,M
3620,MI,PT,Data Engineer,NL,L
1371,MI,FT,Data Engineer,US,M
552,MI,FT,Data Engineer,US,M
902,SE,FT,Data Scientist,US,M
3253,SE,FT,Data Scientist,US,L
1464,MI,FT,Data Science Manager,US,M
173,SE,FT,Applied Scientist,US,L
1563,SE,FT,Data Analyst,ES,M
226,SE,FT,Data Engineer,US,M
1439,SE,FT,Data Engineer,US,M
899,SE,FT,Data Scientist,US,M
3150,SE,FT,ML Engineer,US,M
1358,SE,FT,Data Scientist,US,M
2791,SE,FT,Data Architect,US,L
3106,SE,FT,Machine Learning Engineer,US,M
3378,SE,FT,Data Scientist,US,M
1457,SE,FT,Data Engineer,US,M
2648,MI,FT,Data Analyst,US,M
